time,temp_c,condition,wind_kph,wind_dir,pressure_mb,precip_mm,snow_cm,humidity,cloud,feelslike_c,windchill_c,heatindex_c,dewpoint_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,gust_kph,uv,vis_km
2024-09-03 00:00,23.6,Clear,8.6,NNE,1014.0,0.0,0.0,63,11,25.3,23.6,25.3,16.1,0,0,0,0,13.1,0.0,10.0
2024-09-03 01:00,23.2,Clear,7.9,NE,1014.0,0.0,0.0,62,12,25.1,23.3,25.1,15.7,0,0,0,0,12.5,0.0,10.0
2024-09-03 02:00,23.1,Clear,6.5,NNE,1014.0,0.0,0.0,62,15,25.0,23.1,25.0,15.5,0,0,0,0,10.2,0.0,10.0
2024-09-03 03:00,22.9,Clear,7.9,NNE,1014.0,0.0,0.0,62,18,24.9,22.9,24.9,15.3,0,0,0,0,12.5,0.0,10.0
2024-09-03 04:00,22.8,Clear,10.4,N,1014.0,0.0,0.0,62,19,24.8,22.8,24.8,15.2,0,0,0,0,16.9,0.0,10.0
2024-09-03 05:00,22.6,Clear,11.9,N,1014.0,0.0,0.0,62,19,24.8,22.6,24.8,14.9,0,0,0,0,19.9,0.0,10.0
2024-09-03 06:00,22.6,Clear,11.2,N,1015.0,0.0,0.0,59,20,24.8,22.6,24.8,14.3,0,0,0,0,19.1,0.0,10.0
2024-09-03 07:00,23.1,Sunny,9.4,N,1015.0,0.0,0.0,57,23,24.9,23.1,24.9,14.1,0,0,0,0,15.3,6.0,10.0
2024-09-03 08:00,24.4,Sunny,5.8,NNE,1015.0,0.0,0.0,52,23,25.5,24.5,25.5,14.1,0,0,0,0,7.8,6.0,10.0
2024-09-03 09:00,25.3,Sunny,6.8,E,1016.0,0.0,0.0,53,24,26.2,25.3,26.2,15.1,0,0,0,0,8.6,7.0,10.0
2024-09-03 10:00,25.6,Sunny,10.1,E,1016.0,0.0,0.0,57,23,26.6,25.6,26.6,16.3,0,0,0,0,12.2,7.0,10.0
2024-09-03 11:00,25.7,Sunny,13.0,ESE,1016.0,0.0,0.0,59,22,26.8,25.7,26.8,17.0,0,0,0,0,15.4,7.0,10.0
2024-09-03 12:00,25.8,Sunny,14.8,ESE,1016.0,0.0,0.0,60,20,27.0,25.8,27.0,17.4,0,0,0,0,17.1,7.0,10.0
2024-09-03 13:00,26.2,Patchy rain possible,14.0,ESE,1016.0,0.18,0.0,60,71,27.4,26.2,27.4,17.7,1,100,0,0,16.2,6.0,9.0
2024-09-03 14:00,26.3,Patchy rain possible,13.0,ESE,1015.0,0.09,0.0,60,72,27.5,26.3,27.5,17.9,0,45,0,0,14.9,6.0,10.0
2024-09-03 15:00,26.2,Patchy rain possible,11.5,ESE,1015.0,0.06,0.0,61,82,27.5,26.2,27.5,18.0,0,45,0,0,13.4,6.0,10.0
2024-09-03 16:00,26.2,Patchy rain possible,9.4,ESE,1015.0,0.07,0.0,60,82,27.4,26.2,27.4,17.9,0,45,0,0,11.1,6.0,10.0
2024-09-03 17:00,26.0,Patchy rain possible,7.9,ESE,1015.0,0.11,0.0,61,89,27.3,26.0,27.3,18.0,1,100,0,0,9.7,6.0,10.0
2024-09-03 18:00,25.6,Patchy rain possible,6.5,ESE,1015.0,0.16,0.0,64,78,27.0,25.6,27.0,18.2,1,100,0,0,8.3,6.0,10.0
2024-09-03 19:00,24.8,Patchy rain possible,4.7,ESE,1015.0,0.29,0.0,67,79,26.3,24.8,26.3,18.3,1,100,0,0,6.6,5.0,10.0
2024-09-03 20:00,24.6,Sunny,5.0,ENE,1015.0,0.0,0.0,68,9,26.1,24.6,26.1,18.4,0,0,0,0,7.1,6.0,10.0
2024-09-03 21:00,24.5,Clear,7.2,NE,1015.0,0.0,0.0,69,8,26.1,24.5,26.1,18.4,0,0,0,0,10.2,0.0,10.0
2024-09-03 22:00,24.1,Patchy rain possible,5.4,NNE,1016.0,0.06,0.0,69,83,25.8,24.1,25.8,18.1,0,45,0,0,7.9,0.0,10.0
2024-09-03 23:00,23.9,Clear,8.3,N,1015.0,0.0,0.0,68,8,25.6,23.9,25.6,17.6,0,0,0,0,12.5,0.0,10.0
2024-09-02 00:00,25.6,Patchy rain possible,13.0,NW,1012.0,0.02,0.0,56,74,26.6,25.6,26.6,16.2,0,45,0,0,23.7,0.0,10.0
2024-09-02 01:00,25.1,Patchy rain possible,15.8,NNW,1012.0,0.01,0.0,58,69,26.2,25.1,26.2,16.2,0,45,0,0,28.5,0.0,10.0
2024-09-02 02:00,24.0,Patchy rain possible,17.6,NNW,1012.0,0.21,0.0,63,87,25.6,24.0,25.6,16.6,1,100,0,0,32.4,0.0,9.0
2024-09-02 03:00,23.8,Patchy rain possible,19.1,NNW,1012.0,0.04,0.0,64,88,25.4,23.8,25.4,16.5,0,45,0,0,33.4,0.0,10.0
2024-09-02 04:00,23.4,Patchy rain possible,19.4,NNW,1012.0,0.06,0.0,64,73,25.2,23.4,25.2,16.2,0,45,0,0,33.5,0.0,10.0
2024-09-02 05:00,23.6,Patchy rain possible,18.7,NNW,1012.0,0.12,0.0,61,72,25.2,23.6,25.2,15.7,1,100,0,0,31.3,0.0,10.0
2024-09-02 06:00,23.5,Clear,18.0,NNW,1012.0,0.0,0.0,62,21,25.2,23.5,25.2,15.7,0,0,0,0,32.1,0.0,10.0
2024-09-02 07:00,24.0,Sunny,15.8,NNW,1012.0,0.0,0.0,58,24,25.4,24.0,25.4,15.3,0,0,0,0,28.0,6.0,10.0
2024-09-02 08:00,25.1,Sunny,11.9,NNW,1012.0,0.0,0.0,55,25,26.1,25.1,26.1,15.3,0,0,0,0,18.3,7.0,10.0
2024-09-02 09:00,25.5,Partly cloudy,5.4,NW,1013.0,0.0,0.0,54,33,26.4,25.5,26.4,15.4,0,0,0,0,8.0,7.0,10.0
2024-09-02 10:00,25.7,Partly cloudy,1.1,ESE,1013.0,0.0,0.0,54,31,26.6,25.7,26.6,15.7,0,0,0,0,1.5,7.0,10.0
2024-09-02 11:00,26.6,Partly cloudy,6.8,ESE,1013.0,0.0,0.0,51,27,27.3,26.6,27.3,15.7,0,0,0,0,8.5,7.0,10.0
2024-09-02 12:00,26.9,Sunny,10.1,ESE,1013.0,0.0,0.0,53,25,27.7,26.9,27.7,16.5,0,0,0,0,12.0,7.0,10.0
2024-09-02 13:00,26.9,Sunny,9.7,SE,1013.0,0.0,0.0,56,22,27.9,26.9,27.9,17.3,0,0,0,0,11.2,7.0,10.0
2024-09-02 14:00,26.8,Sunny,7.6,SE,1012.0,0.0,0.0,56,24,27.8,26.8,27.8,17.4,0,0,0,0,8.9,7.0,10.0
2024-09-02 15:00,26.7,Sunny,6.8,S,1012.0,0.0,0.0,56,25,27.7,26.7,27.7,17.3,0,0,0,0,8.2,7.0,10.0
2024-09-02 16:00,26.7,Partly cloudy,9.4,S,1012.0,0.0,0.0,58,29,27.8,26.7,27.8,17.6,0,0,0,0,11.5,7.0,10.0
2024-09-02 17:00,26.1,Partly cloudy,8.3,S,1012.0,0.0,0.0,60,35,27.2,26.1,27.2,17.7,0,0,0,0,10.5,7.0,10.0
2024-09-02 18:00,25.5,Partly cloudy,4.7,SSW,1012.0,0.0,0.0,62,39,26.8,25.5,26.8,17.6,0,0,0,0,6.3,7.0,10.0
2024-09-02 19:00,25.5,Partly cloudy,0.7,NW,1013.0,0.0,0.0,61,26,26.8,25.5,26.8,17.6,0,0,0,0,1.0,7.0,10.0
2024-09-02 20:00,25.4,Sunny,3.6,E,1013.0,0.0,0.0,62,18,26.7,25.4,26.7,17.6,0,0,0,0,5.1,7.0,10.0
2024-09-02 21:00,24.8,Clear,4.7,NNW,1013.0,0.0,0.0,64,14,26.2,24.9,26.2,17.6,0,0,0,0,7.1,0.0,10.0
2024-09-02 22:00,24.7,Clear,6.1,NNW,1014.0,0.0,0.0,64,16,26.1,24.7,26.1,17.3,0,0,0,0,9.6,0.0,10.0
2024-09-02 23:00,24.5,Clear,3.6,NNW,1014.0,0.0,0.0,62,22,25.9,24.5,25.9,16.9,0,0,0,0,5.7,0.0,10.0
2024-09-01 00:00,26.2,Clear,10.1,NNW,1015.0,0.0,0.0,51,5,26.9,26.2,26.9,15.2,0,0,0,0,21.2,0.0,10.0
2024-09-01 01:00,26.0,Clear,9.7,N,1015.0,0.0,0.0,50,9,26.7,26.0,26.7,15.0,0,0,0,0,20.4,0.0,10.0
2024-09-01 02:00,25.8,Clear,10.1,NNW,1015.0,0.0,0.0,50,18,26.5,25.8,26.5,14.7,0,0,0,0,21.1,0.0,10.0
2024-09-01 03:00,25.7,Clear,10.4,NNW,1014.0,0.0,0.0,50,25,26.3,25.7,26.3,14.5,0,0,0,0,21.6,0.0,10.0
2024-09-01 04:00,25.5,Partly cloudy,11.5,NNW,1014.0,0.0,0.0,49,27,26.2,25.5,26.2,14.2,0,0,0,0,23.7,0.0,10.0
2024-09-01 05:00,25.5,Clear,11.9,N,1014.0,0.0,0.0,49,19,26.2,25.5,26.2,14.1,0,0,0,0,24.1,0.0,10.0
2024-09-01 06:00,25.3,Clear,11.9,N,1014.0,0.0,0.0,50,17,26.1,25.4,26.1,14.2,0,0,0,0,24.1,0.0,10.0
2024-09-01 07:00,25.7,Sunny,10.8,N,1014.0,0.0,0.0,50,17,26.4,25.7,26.4,14.5,0,0,0,0,20.8,7.0,10.0
2024-09-01 08:00,27.2,Sunny,5.8,N,1014.0,0.0,0.0,49,9,27.7,27.2,27.7,15.6,0,0,0,0,9.4,7.0,10.0
2024-09-01 09:00,28.4,Sunny,3.6,SE,1014.0,0.0,0.0,47,5,28.9,28.4,28.9,15.9,0,0,0,0,5.1,7.0,10.0
2024-09-01 10:00,28.2,Sunny,8.3,SE,1014.0,0.0,0.0,49,5,28.9,28.2,28.9,16.5,0,0,0,0,11.2,7.0,10.0
2024-09-01 11:00,27.9,Sunny,7.9,SE,1014.0,0.0,0.0,51,4,28.8,28.0,28.8,16.9,0,0,0,0,10.6,7.0,10.0
2024-09-01 12:00,28.1,Sunny,7.2,ESE,1014.0,0.0,0.0,51,5,29.0,28.1,29.0,17.0,0,0,0,0,9.6,7.0,10.0
2024-09-01 13:00,28.4,Sunny,7.9,ESE,1013.0,0.0,0.0,51,6,29.4,28.5,29.4,17.4,0,0,0,0,10.3,7.0,10.0
2024-09-01 14:00,28.4,Sunny,7.6,SE,1013.0,0.0,0.0,52,7,29.4,28.4,29.4,17.5,0,0,0,0,9.6,7.0,10.0
2024-09-01 15:00,28.2,Sunny,6.1,SE,1013.0,0.0,0.0,51,6,29.0,28.2,29.0,17.0,0,0,0,0,8.0,7.0,10.0
2024-09-01 16:00,28.0,Sunny,6.5,S,1012.0,0.0,0.0,50,7,28.8,28.1,28.8,16.8,0,0,0,0,8.7,7.0,10.0
2024-09-01 17:00,28.1,Sunny,2.5,SSW,1013.0,0.0,0.0,50,11,28.8,28.1,28.8,16.7,0,0,0,0,3.5,7.0,10.0
2024-09-01 18:00,27.7,Sunny,9.7,WSW,1012.0,0.0,0.0,53,10,28.7,27.8,28.7,17.2,0,0,0,0,14.0,7.0,10.0
2024-09-01 19:00,27.1,Sunny,7.2,W,1012.0,0.0,0.0,55,15,28.1,27.1,28.1,17.4,0,0,0,0,11.6,7.0,10.0
2024-09-01 20:00,27.0,Sunny,6.8,NW,1012.0,0.0,0.0,53,12,27.9,27.0,27.9,16.8,0,0,0,0,12.0,7.0,10.0
2024-09-01 21:00,26.7,Clear,10.4,NNW,1012.0,0.0,0.0,51,10,27.3,26.7,27.3,15.8,0,0,0,0,19.7,0.0,10.0
2024-09-01 22:00,26.3,Clear,11.2,NNW,1012.0,0.0,0.0,52,9,27.1,26.3,27.1,15.8,0,0,0,0,22.1,0.0,10.0
2024-09-01 23:00,26.2,Clear,11.2,WNW,1012.0,0.0,0.0,53,12,27.0,26.2,27.0,16.0,0,0,0,0,21.4,0.0,10.0
2024-08-31 00:00,25.5,Clear,5.8,NW,1016.0,0.0,0.0,55,6,26.5,25.5,26.5,15.9,0,0,0,0,10.9,0.0,10.0
2024-08-31 01:00,25.5,Overcast,7.2,NNW,1015.0,0.0,0.0,54,99,26.4,25.5,26.4,15.6,0,0,0,0,13.6,0.0,10.0
2024-08-31 02:00,25.5,Cloudy,8.3,NNW,1015.0,0.0,0.0,53,79,26.4,25.5,26.4,15.4,0,0,0,0,16.1,0.0,10.0
2024-08-31 03:00,25.4,Partly cloudy,7.2,NNW,1015.0,0.0,0.0,54,33,26.3,25.4,26.3,15.4,0,0,0,0,13.9,0.0,10.0
2024-08-31 04:00,25.2,Clear,7.6,N,1015.0,0.0,0.0,54,18,26.2,25.2,26.2,15.2,0,0,0,0,14.6,0.0,10.0
2024-08-31 05:00,25.1,Clear,9.0,N,1015.0,0.0,0.0,54,3,26.0,25.1,26.0,15.0,0,0,0,0,17.4,0.0,10.0
2024-08-31 06:00,25.0,Clear,9.0,N,1016.0,0.0,0.0,54,6,26.0,25.0,26.0,15.1,0,0,0,0,17.4,0.0,10.0
2024-08-31 07:00,25.5,Sunny,7.6,N,1016.0,0.0,0.0,54,7,26.4,25.5,26.4,15.4,0,0,0,0,13.6,7.0,10.0
2024-08-31 08:00,26.6,Sunny,5.0,N,1016.0,0.0,0.0,53,7,27.3,26.6,27.3,16.1,0,0,0,0,8.0,7.0,10.0
2024-08-31 09:00,27.8,Sunny,0.7,NNW,1016.0,0.0,0.0,49,8,28.5,27.8,28.5,16.2,0,0,0,0,1.0,7.0,10.0
2024-08-31 10:00,28.2,Sunny,5.0,SE,1016.0,0.0,0.0,46,6,28.6,28.2,28.6,15.6,0,0,0,0,7.1,7.0,10.0
2024-08-31 11:00,28.1,Sunny,6.5,SE,1016.0,0.0,0.0,47,4,28.5,28.1,28.5,15.7,0,0,0,0,9.1,7.0,10.0
2024-08-31 12:00,28.3,Sunny,6.1,SE,1016.0,0.0,0.0,47,5,28.8,28.3,28.8,15.9,0,0,0,0,8.4,7.0,10.0
2024-08-31 13:00,28.4,Sunny,6.5,SSE,1016.0,0.0,0.0,47,6,29.0,28.4,29.0,16.2,0,0,0,0,8.5,7.0,10.0
2024-08-31 14:00,28.6,Sunny,5.8,SE,1016.0,0.0,0.0,46,6,29.1,28.6,29.1,15.9,0,0,0,0,7.6,7.0,10.0
2024-08-31 15:00,28.6,Sunny,5.4,SE,1016.0,0.0,0.0,45,4,29.0,28.6,29.0,15.6,0,0,0,0,7.1,7.0,10.0
2024-08-31 16:00,28.6,Sunny,4.3,SSE,1015.0,0.0,0.0,45,3,29.0,28.6,29.0,15.6,0,0,0,0,5.8,7.0,10.0
2024-08-31 17:00,28.5,Sunny,3.2,SSE,1015.0,0.0,0.0,45,3,28.9,28.5,28.9,15.6,0,0,0,0,4.5,7.0,10.0
2024-08-31 18:00,28.0,Sunny,1.8,SW,1015.0,0.0,0.0,49,3,28.6,28.0,28.6,16.2,0,0,0,0,2.7,7.0,10.0
2024-08-31 19:00,27.5,Sunny,4.0,W,1015.0,0.0,0.0,49,3,28.0,27.5,28.0,15.8,0,0,0,0,6.7,7.0,10.0
2024-08-31 20:00,27.1,Sunny,5.4,WNW,1016.0,0.0,0.0,48,4,27.6,27.1,27.6,15.3,0,0,0,0,9.6,7.0,10.0
2024-08-31 21:00,26.8,Clear,7.2,WNW,1016.0,0.0,0.0,48,6,27.3,26.8,27.3,15.0,0,0,0,0,13.1,0.0,10.0
2024-08-31 22:00,26.4,Clear,7.9,NW,1016.0,0.0,0.0,50,5,26.9,26.4,26.9,15.0,0,0,0,0,14.8,0.0,10.0
2024-08-31 23:00,25.9,Clear,9.0,NNW,1015.0,0.0,0.0,50,4,26.6,25.9,26.6,14.8,0,0,0,0,18.0,0.0,10.0
2024-08-30 00:00,25.5,Clear,7.6,NW,1017.0,0.0,0.0,57,4,26.5,25.5,26.5,16.3,0,0,0,0,14.2,0.0,10.0
2024-08-30 01:00,25.3,Clear,9.0,NW,1017.0,0.0,0.0,55,3,26.3,25.3,26.3,15.7,0,0,0,0,17.4,0.0,10.0
2024-08-30 02:00,25.2,Clear,8.6,NNW,1016.0,0.0,0.0,54,3,26.1,25.2,26.1,15.2,0,0,0,0,17.1,0.0,10.0
2024-08-30 03:00,25.0,Clear,7.9,NNW,1016.0,0.0,0.0,53,4,26.0,25.0,26.0,14.9,0,0,0,0,15.6,0.0,10.0
2024-08-30 04:00,24.8,Clear,8.6,NW,1016.0,0.0,0.0,53,6,25.8,24.8,25.8,14.7,0,0,0,0,16.9,0.0,10.0
2024-08-30 05:00,24.8,Clear,8.3,NNW,1016.0,0.0,0.0,53,6,25.8,24.8,25.8,14.6,0,0,0,0,16.2,0.0,10.0
2024-08-30 06:00,24.7,Clear,7.6,NNW,1016.0,0.0,0.0,53,5,25.7,24.7,25.7,14.5,0,0,0,0,14.9,0.0,10.0
2024-08-30 07:00,25.1,Sunny,6.8,NNW,1017.0,0.0,0.0,52,5,26.0,25.1,26.0,14.7,0,0,0,0,12.5,7.0,10.0
2024-08-30 08:00,26.6,Sunny,4.3,NW,1017.0,0.0,0.0,50,4,27.2,26.7,27.2,15.3,0,0,0,0,6.5,7.0,10.0
2024-08-30 09:00,27.8,Sunny,1.4,SW,1017.0,0.0,0.0,47,3,28.2,27.8,28.2,15.3,0,0,0,0,1.9,7.0,10.0
2024-08-30 10:00,28.1,Sunny,5.4,S,1017.0,0.0,0.0,44,2,28.3,28.1,28.3,14.7,0,0,0,0,7.3,7.0,10.0
2024-08-30 11:00,28.0,Sunny,7.9,S,1017.0,0.0,0.0,45,1,28.3,28.0,28.3,14.9,0,0,0,0,10.6,7.0,10.0
2024-08-30 12:00,28.0,Sunny,7.9,S,1017.0,0.0,0.0,46,0,28.4,28.0,28.4,15.2,0,0,0,0,10.4,7.0,10.0
